p_0,p_1,alpha_2,mu0_0,mu0_1,beta_2,mu1_0,mu1_1,gamma_2,count,bias_RA,var_RA,bias_IPW,var_IPW,bias_AIPW,var_AIPW,bias_IPWRA,var_IPWRA,bias_NNMATCH,var_NNMATCH,bias_PSMATCH,var_PSMATCH,_merge,MSE_RA,MSE_IPW,MSE_AIPW,MSE_IPWRA,MSE_NNMATCH,MSE_PSMATCH,min_absbias,minimizing_absbias
.75,.25,-1.42,.75,.25,-1.42,.75,.25,-1.42,1,.04785474,.0020980518,-.47910604,.17887779,.20267005,.024515353,-.12032619,.021885449,.001269,.0028039669,.0011479999,.0027963195,matched (3),.0043881279,.40842038,.065590501,.03636384,.0028055771,.0027976374,.04785474,1
.75,.25,-1.42,.75,.25,-1.42,.75,.25,-.5,2,.034337606,.0023143243,-.48896778,.17911194,.19136068,.024765022,.025578065,.02219364,.00076299976,.0029222139,.00065799977,.002917594,matched (3),.0034933954,.41820142,.061383933,.022847878,.0029227959,.0029180271,.025578065,4
.75,.25,-1.42,.75,.25,-1.42,.75,.25,.5,3,.01979474,.0023136223,-.49957672,.17918913,.17918986,.024663534,.18079433,.021588402,.0010520003,.0029363662,.00096800009,.0029254016,matched (3),.0027054539,.42876604,.056772541,.054274991,.0029374729,.0029263385,.01979474,1
.75,.25,-1.42,.75,.25,-1.42,.75,.25,1.42,4,.0064501343,.0021199055,-.50934279,.17944202,.16803154,.024308177,.32334608,.021503733,.00094599958,.0028171451,.00084599981,.0028055054,matched (3),.0021615098,.4388721,.052542776,.12605642,.0028180401,.0028062211,.0064501343,1
.75,.25,-1.42,.75,.25,-1.42,.25,.75,-1.42,5,.047629539,.002250643,-.4877176,.17762858,.20244351,.025473084,.37344638,.02127273,.0012950001,.0029149435,.001199,.0029086925,matched (3),.0045192158,.41549703,.066456459,.16073492,.0029166206,.00291013,.047629539,1
.75,.25,-1.42,.75,.25,-1.42,.25,.75,-.5,6,.034834865,.0024266674,-.49693707,.17805335,.19183014,.025416803,.52480847,.021499965,.0014240002,.0029933224,.0013310002,.0029875475,matched (3),.0036401353,.4249998,.062215608,.29692391,.0029953502,.0029893192,.034834865,1
.75,.25,-1.42,.75,.25,-1.42,.25,.75,.5,7,.020430863,.0023729824,-.50742859,.17816059,.17979082,.025232203,.68555629,.021940967,.0013779999,.003015493,.0012909998,.0030083461,matched (3),.0027904026,.43564436,.057556942,.4919284,.003017392,.0030100127,.020430863,1
.75,.25,-1.42,.75,.25,-1.42,.25,.75,1.42,8,.0072447606,.0022614892,-.51700908,.17840934,.16878662,.02515455,.82924175,.021884438,.0014110006,.003082599,.0013280008,.0030711119,matched (3),.0023139757,.44570774,.053643472,.7095263,.00308459,.0030728756,.0072447606,1
.75,.25,-1.42,.75,.25,-1.42,.5,.5,-1.6,9,.050122149,.0021244644,-.48172984,.17834894,.20450909,.024889881,.10362517,.021520687,.000485,.002886571,.00037899989,.0028798776,matched (3),.0046366942,.41041258,.066713847,.032258864,.0028868061,.0028800212,.050122149,1
.75,.25,-1.42,.75,.25,-1.42,.5,.5,1.6,10,.0038213339,.0022162315,-.51549703,.17966184,.165823,.024370912,.61176443,.022249496,.00035599957,.0030614943,.00027199936,.0030514393,matched (3),.0022308342,.44539902,.051868178,.39650521,.003061621,.0030515133,.0038213339,1
